pattern_id,pattern,description
1,\btransfer\s+(?:debit|credit)\b,"Transfer debit/credit"
2,\binternet\s+(?:withdrawal|deposit)\b,"Internet withdrawal/deposit"
3,\blinked\s+acc,"Linked account"
4,\binternal\s+transfer\b,"Internal transfer phrase"
5,\b(?:ibank|ib)\s+trf\b,"IBank/IB TRF"
6,\bmb\s+transfer\b,"MB Transfer"
7,\banz\s+m-banking\s+funds\s+tfer\b,"ANZ M-Banking funds transfer"
8,\b(?:deposit|withdrawal)\s+online\b.*\btfr\b,"Deposit/Withdrawal online TFR"
9,\bfast\s+transfer\b,"Fast Transfer"
10,\bcommbank\s+app\b,"CommBank App"
11,\btfr\s+(?:from|to)\s+\d,"TFR from/to digits"
12,\btransfer\s+(?:to|from)\s+xx\d{4}\b,"Transfer to/from masked xx####"
13,\btransferred\s+(?:to|from)\s+\d,"Transferred to/from digits"
14,\.[ \t]*tf[cd]\s*$,".TFD/.TFC suffix"
15,\b(?:osko|payid|npp)\b,"Osko/PayID/NPP"
16,\bpaypal\b,"PayPal"
17,\bbpay\b,"BPAY"
19,\bscheduled\s+payment\b,"Scheduled Payment"
